Shareholder - Name	Issuer - Name	Security - Report Date	Data Source URL
KPA	Danone SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Darden Restaurants Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Datadog Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	DBS Group Holdings Ltd	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Deckers Outdoor Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Deere & Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Dell Technologies Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Delta Airlines	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Deutsche Post AG	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Deutsche Telekom AG	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	DexCom Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Diamondback Energy Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Digital Realty Trust Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Disco Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Discovery Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	DNB Bank ASA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Dollar General Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Dollar Tree Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Dollarama Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	DoorDash Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Dowpont de Nemours Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	DR Horton Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	DSV A/S	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Dynatrace Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	E.ON SE	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	East Japan Railway Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	eBay Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Ecolab Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Edison International	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	EDP SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Edwards Lifesciences Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Eiffage SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Electrolux AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Electronic Arts Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Elekta AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Elevance Health Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Eli Lilly & Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Embracer Group AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	EMCOR Group Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Emerson Electric Co	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Enel SpA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Engie SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Eni SpA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Entegris Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	EOG Resources Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Epiroc AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	EQT AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	EQT Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Equifax Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Equinix Inc	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Equinor ASA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	EssilorLuxottica SA	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	ESSITY AB	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Eversource Energy	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
KPA	Exelon Corp	2026-03-04	https://www.kpa.se/globalassets/trycksaker/hallbarhet/kpa-innehav-26-februari-2026.pdf
