Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value	Data Source URL
AP3	M31 BETEILIGUNGSGESELLSCHAFT MBH & CO ENERGIE KG	Corporates	2025-08-26	118,908	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	M31 BETEILIGUNGSGESELLSCHAFT MBH & CO ENERGIE KG	Corporates	2025-08-26	119,498	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MEDTRONIC PLC	Corporates	2025-08-26	228,234	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	2025-08-26	197,311	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	2025-08-26	347,661	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	2025-08-26	39,050	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	2025-08-26	59,963	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	2025-08-26	156,039	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCEDES-BENZ GROUP AG	Corporates	2025-08-26	198,173	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MERCK & CO INC	Corporates	2025-08-26	56,509	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MOTABILITY OPERATIONS GROUP PLC	Corporates	2025-08-26	113,970	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NETFLIX INC	Corporates	2025-08-26	34,456	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NEXTERA ENERGY INC	Corporates	2025-08-26	156,902	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NEXTERA ENERGY INC	Corporates	2025-08-26	238,639	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NORDEA BANK ABP	Corporates	2025-08-26	171,955	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NORDEA BANK ABP	Corporates	2025-08-26	312,671	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NORDEA BANK ABP	Corporates	2025-08-26	575,581	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NOVO NORDISK FONDEN	Corporates	2025-08-26	246,540	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NOVO NORDISK FONDEN	Corporates	2025-08-26	281,598	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ORANGE SA	Corporates	2025-08-26	92,998	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PHILIP MORRIS INTERNATIONAL INC	Corporates	2025-08-26	515,620	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
