Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	INDUSTRIVARDEN AB-A SHS	EQUITY	SE0000190126	2025-08-26	96,096	SEK		280000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INDUTRADE AB	EQUITY	SE0001515552	2025-08-26	569,941	SEK		2207363	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INFANT BACTERIAL THERAPEUTIC	EQUITY	SE0008015259	2025-08-26	3,430	SEK		70000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INSTALCO AB	EQUITY	SE0017483506	2025-08-26	94,413	SEK		3885311	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INTEA FASTIGHETER AB	EQUITY	SE0017072259	2025-08-26	901,044	SEK		11603921	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INVESTOR AB-A SHS	EQUITY	SE0015811955	2025-08-26	1,958,688	SEK		6997815	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INVESTOR AB-B SHS	EQUITY	SE0015811963	2025-08-26	3,975,446	SEK		14210709	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INWIDO AB	EQUITY	SE0006220018	2025-08-26	31,530	SEK		150000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JM AB	EQUITY	SE0000806994	2025-08-26	106,190	SEK		700000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LUNDBERGS AB-B SHS	EQUITY	SE0000108847	2025-08-26	35,370	SEK		75000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LAGERCRANTZ GROUP AB-B SHS	EQUITY	SE0014990966	2025-08-26	271,731	SEK		1193899	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LIFCO AB-B SHS	EQUITY	SE0015949201	2025-08-26	237,928	SEK		621547	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LINDAB INTERNATIONAL AB	EQUITY	SE0001852419	2025-08-26	183,157	SEK		934000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MILDEF GROUP AB	EQUITY	SE0016074249	2025-08-26	227,054	SEK		1145000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MIPS AB	EQUITY	SE0009216278	2025-08-26	146,522	SEK		330601	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MUNTERS GROUP AB	EQUITY	SE0009806607	2025-08-26	451,573	SEK		3269899	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MYCRONIC AB	EQUITY	SE0025158629	2025-08-26	559,487	SEK		2772482	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NCAB GROUP AB	EQUITY	SE0017160773	2025-08-26	163,602	SEK		3458812	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NIBE INDUSTRIER AB-B SHS	EQUITY	SE0015988019	2025-08-26	757,146	SEK		18769114	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NIVIKA FASTIGHETER AB-B	EQUITY	SE0017083272	2025-08-26	130,126	SEK		3169928	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NOLATO AB-B SHS	EQUITY	SE0015962477	2025-08-26	257,279	SEK		4443506	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NORDEA BANK ABP	EQUITY	FI4000297767	2025-08-26	792,836	SEK		5630941	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
