Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
BPL Pension	Lonza Group AG	2024-06-04	1.059	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	LUMINOR BANK ESTONIA	2024-06-04	1.839	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	LVMH Moet Hennessy Louis Vuitton	2024-06-04	8.230	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Macquarie Group Ltd	2024-06-04	4.754	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Medtronic Inc	2024-06-04	2.225	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	MERCEDES-BENZ CA FIN INC	2024-06-04	5.625	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	MERLIN PROPERTIES SOCIMI	2024-06-04	427	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Metavante Technologies Inc	2024-06-04	9.457	x1_000	EUR	0,06%	https://www.bplpensioen.nl/beleggen
BPL Pension	MetLife Inc	2024-06-04	4.752	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Michelin Luxembourg	2024-06-04	386	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Mitsubishi UFJ Financial Group	2024-06-04	2.705	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Mizuho Bank Ltd	2024-06-04	5.372	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Morgan Stanley	2024-06-04	13.816	x1_000	EUR	0,09%	https://www.bplpensioen.nl/beleggen
BPL Pension	National Bank of Australia	2024-06-04	5.481	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	National Bank of Canada	2024-06-04	10.892	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	National Grid PLC	2024-06-04	8.288	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Nationwide Building Society	2024-06-04	25.367	x1_000	EUR	0,16%	https://www.bplpensioen.nl/beleggen
BPL Pension	NATL GAS TRANSMISSION	2024-06-04	1.068	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Natwest Group PLC	2024-06-04	14.139	x1_000	EUR	0,09%	https://www.bplpensioen.nl/beleggen
BPL Pension	NBN CO LTD	2024-06-04	5.305	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Nederlandse Gasunie NV	2024-06-04	2.071	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Neste Oil OYJ	2024-06-04	4.189	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Nestle SA	2024-06-04	25.115	x1_000	EUR	0,15%	https://www.bplpensioen.nl/beleggen
BPL Pension	NetFlix Inc	2024-06-04	6.737	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	NN GROUP NV	2024-06-04	17.870	x1_000	EUR	0,11%	https://www.bplpensioen.nl/beleggen
BPL Pension	OMA SAASTOPANKKI OYJ	2024-06-04	22.460	x1_000	EUR	0,14%	https://www.bplpensioen.nl/beleggen
BPL Pension	OMV AG	2024-06-04	1.615	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	OP CORPORATE BANK PLC	2024-06-04	14.553	x1_000	EUR	0,09%	https://www.bplpensioen.nl/beleggen
BPL Pension	Orange SA	2024-06-04	11.706	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	ORIX Corp	2024-06-04	3.764	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	ORSTED A/S	2024-06-04	2.002	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	PepsiCo Inc /NC	2024-06-04	1.943	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	PERMANENT TSB GROUP	2024-06-04	2.420	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	PROCTER & GAMBLE CO	2024-06-04	766	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Prologis International Fund II	2024-06-04	2.769	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Prologis LP	2024-06-04	21.152	x1_000	EUR	0,13%	https://www.bplpensioen.nl/beleggen
BPL Pension	PROSUS NV	2024-06-04	2.219	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Raiffeisen Bank International	2024-06-04	20.021	x1_000	EUR	0,12%	https://www.bplpensioen.nl/beleggen
BPL Pension	Realty Income Corp	2024-06-04	1.130	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Reckitt Benckiser Group PLC	2024-06-04	3.134	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Relx Capital Inc.	2024-06-04	5.813	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
