,Company,Market Value (x €1.000)
659,Lens  Technology   Co  Ltd,301
660,Liberty   For,6.879
661,Life Healthcare  Group   Holdings,5.443
662,Light Yield Ltd,1.447
663,Lincoln  National  Corp,1.706
664,Linde  AG,177
665,LINDE  PLC,8 7
666,Lion Corp,850
667,LLOYDS   BANK   PLC,19.414
668,Loblaw   Cos Ltd,3.246
669,Loews   Corp,3.260
670,Logitech  International  SA,1 8
671,London   Stock  Exchange   Group   PL,17.551
672,LONZA   GROUP    AG,14.324
673,The,783
674,s  Cos  Inc,11.941
675,LPP  SA,1 1
676,Lululemon   Athletica  Inc,5.601
677,Lundbergforetagen     AB,1.907
678,Lundin  Mining   Corp,144
679,LVMH    Moet  Hennessy    Louis Vuitt,2.419
680,LVMH    Moet  Hennessy    Louis Vuitton,55.953
681,LXJM,331
682,Lyondell  Chemical   Co,2.909
683,T   Bank  Corp,1.732
684,   INC,1.827
685,Macquarie    Group  Ltd,8.529
686,MACROTECH      DEVELOPERS     LTD,668
687,s  Inc,1.991
688,MAKITA    CORP,14.115
689,Manhattan    Associates  Inc,4.263
690,ManpowerGroup,1.416
691,Manulife   Financial Corp,2.138
692,Markel   Corp,5.968
693,MarketAxess    Holdings  Inc,205
694, SPENCER    GROUP    PLC,2.906
695, McLennan     Cos Inc,12.527
696,MARUBENI     CORP,2.628
697,Marvell  Technology    Inc,20.419
698,Mastercard    Inc,51.323
699,Matsumotokiyoshi      Holdings  Co L,5.771
700,Mazda   Motor   Corp,2
701,MCAFEE    INC,8.408
702,s    Corp,7.387
703,McKesson    Corp,13.234
704,MediaTek    Inc,41.723
705,Medibank    Pvt Ltd,3.301
706,Mediobanca,2.439
707,MEDIPAL    HOLDINGS    Corp,812
708,Medtronic   Inc,7.345
709,MEIJI  Holdings  Co  Ltd,814
710,Meituan   Dianping,22.526
711,MercadoLibre    Inc,14.346
712,Mercari   Inc,1.854
713,BENZ       GROUP    AG,210
714," Co,  Inc,",31.536
715,MERCK    KGaA,1
716,Meridian   Energy  Ltd,2.459
717,META   PLATFORMS      INC,207.054
718,Metavante    Technologies   Inc,6.976
719,  Metals  SA,4.579
