Shareholder - Name	Issuer - Name	Issuer - Country Name	Issuer - Sector	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
PensionDanmark	Thales	France	Aerospace & Defense	2025-12-31	29.96	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	GE Vernova	United states	Heavy Electrical Equipment	2025-12-31	29.80	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Abbott Laboratories	United states	Health Care Equipment	2025-12-31	29.80	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Deutsche Bank	Germany	Diversified Capital Markets	2025-12-31	29.51	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Amphenol	United states	Electronic Components	2025-12-31	29.38	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	ING Groep	Netherlands	Diversified Banks	2025-12-31	29.30	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Booking	United states	Hotels, Resorts & Cruise Lines	2025-12-31	29.10	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Amgen	United states	Biotechnology	2025-12-31	29.00	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Intel	United states	Semiconductors	2025-12-31	28.76	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Linde	United states	Industrial Gases	2025-12-31	28.40	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	AT&T	United states	Integrated Telecommunication Services	2025-12-31	27.84	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Adobe	United states	Application Software	2025-12-31	27.00	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	ALK-Abello	Denmark	Pharmaceuticals	2025-12-31	26.93	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Texas Instruments	United states	Semiconductors	2025-12-31	26.93	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Toyota Motor	Japan	Automobile Manufacturers	2025-12-31	26.87	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Accenture	Ireland	IT Consulting & Other Services	2025-12-31	26.81	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	TJX	United states	Apparel Retail	2025-12-31	26.37	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Reliance Industries	India	Oil & Gas Refining & Marketing	2025-12-31	26.12	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Elevance Health	United states	Managed Health Care	2025-12-31	26.00	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	NextEra Energy	United states	Electric Utilities	2025-12-31	25.87	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
