Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	THULE GROUP AB/THE	Equity	SE0006422390	2026-02-23	23,980	SEK	THULE SS	100,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AXFOOD AB	Equity	SE0006993770	2026-02-23	198,670	SEK	AXFO SS	684,598.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEXPOL AB	Equity	SE0007074281	2026-02-23	211,268	SEK	HPOLB SS	2,402,140.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PANDOX AB	Equity	SE0007100359	2026-02-23	203,000	SEK	PNDXB SS	1,000,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASSA ABLOY AB-B	Equity	SE0007100581	2026-02-23	1,382,070	SEK	ASSAB SS	3,850,849.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVENSKA HANDELSBANKEN-A SHS	Equity	SE0007100599	2026-02-23	1,554,769	SEK	SHBA SS	11,572,529.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BRAVIDA HOLDING AB	Equity	SE0007491303	2026-02-23	172,726	SEK	BRAV SS	1,924,523.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VICORE PHARMA HOLDING AB	Equity	SE0007577895	2026-02-23	44,094	SEK	VICO SS	3,902,100.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SCANDIC HOTELS GROUP AB	Equity	SE0007640156	2026-02-23	24,325	SEK	SHOT SS	250,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DOMETIC GROUP AB	Equity	SE0007691613	2026-02-23	27,237	SEK	DOM SS	581,238.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CAMURUS AB	Equity	SE0007692850	2026-02-23	328,428	SEK	CAMX SS	533,163.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VITEC SOFTWARE GROUP AB-B SH	Equity	SE0007871363	2026-02-23	267,790	SEK	VITB SS	864,955.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INFANT BACTERIAL THERAPEUTIC	Equity	SE0008015259	2026-02-23	1,940	SEK	IBTB SS	38,408.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MIPS AB	Equity	SE0009216278	2026-02-23	115,421	SEK	MIPS SS	326,601.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MUNTERS GROUP AB	Equity	SE0009806607	2026-02-23	447,954	SEK	MTRS SS	2,605,899.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BONESUPPORT HOLDING AB BONEX SS Equity SEK 1,546,544.00 290,750 SE0009858152ESSITY AKTIEBOLAG-B	Equity	SE0009922164	2026-02-23	871,583	SEK	ESSITYB SS	3,286,512.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	XSPRAY PHARMA AB	Equity	SE0009973563	2026-02-23	53,959	SEK	XSPRAY SS	1,715,712.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HMS NETWORKS AB	Equity	SE0009997018	2026-02-23	58,977	SEK	HMS SS	140,756.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FAGERHULT GROUP AB	Equity	SE0010048884	2026-02-23	235,706	SEK	FAG SS	5,672,827.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
