Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Bond - Maturity Date	Data Source URL
AP3	NORDEA BANK ABP	Corporates	USX60003AC87	2025-08-26	171,955	USD	9/25/2031	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NORDEA BANK ABP	Corporates	US65559D2A65	2025-08-26	312,671	USD	3/26/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NORDEA BANK ABP	Corporates	3	2025-08-26	575,581	USD		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NOVO NORDISK FONDEN	Corporates	XS3002552993	2025-08-26	246,540	EUR	5/27/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NOVO NORDISK FONDEN	Corporates	XS3002553298	2025-08-26	281,598	EUR	8/27/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ORANGE SA	Corporates	FR0014003B55	2025-08-26	92,998	EUR	5/11/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PHILIP MORRIS INTERNATIONAL INC	Corporates	XS2306815114	2025-08-26	515,620	SEK	2/24/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PRUDENTIAL FINANCIAL INC	Corporates	US744320AW24	2025-08-26	75,185	USD	9/15/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PRUDENTIAL FINANCIAL INC	Corporates	US744320BF81	2025-08-26	108,940	USD	9/15/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PRUDENTIAL FINANCIAL INC	Corporates	10	2025-08-26	114,154	USD		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RIKSHEM INTRESSENTER AB	Corporates	XS2288091874	2025-08-26	49,678	SEK	1/19/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RIKSHEM INTRESSENTER AB	Corporates	XS2733525039	2025-08-26	54,453	SEK	12/13/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RIKSHEM INTRESSENTER AB	Corporates	XS3073140025	2025-08-26	121,494	SEK	5/15/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RIKSHEM INTRESSENTER AB	Corporates	XS3073349683	2025-08-26	142,319	SEK	5/15/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RIKSHEM INTRESSENTER AB	Corporates	XS2774953090	2025-08-26	153,030	SEK	2/28/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ROYAL BANK OF CANADA	Corporates	CA780086TQ70	2025-08-26	158,738	CAD	11/24/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SAMPO OYJ	Corporates	6	2025-08-26	92,854	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SAMPO OYJ	Corporates	XS1995716211	2025-08-26	133,659	EUR	5/23/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SBAB BANK AB	Corporates	SE0013102050	2025-08-26	94,489	SEK	2/25/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SECURITAS AB	Corporates	XS2771418097	2025-08-26	117,025	EUR	2/23/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SES SA	Corporates	XS2010028343	2025-08-26	277,865	EUR	5/27/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	STRYKER CORP	Corporates	XS2892944732	2025-08-26	230,840	EUR	9/11/2032	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVEASKOG AB	Corporates	SE0013105418	2025-08-26	107,290	SEK	4/13/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVENSKA HANDELSBANKEN AB	Corporates	3	2025-08-26	126,451	USD		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVENSKA HANDELSBANKEN AB	Corporates	3	2025-08-26	488,202	USD		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWEDBANK AB	Corporates	XS2801294021	2025-08-26	103,918	SEK	4/10/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELEFONICA SA	Corporates	XS2753311393	2025-08-26	113,933	EUR	10/24/2035	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELEFONICA SA	Corporates	XS2722162315	2025-08-26	117,658	EUR	8/21/2033	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELEFONICA SA	Corporates	XS2755535577	2025-08-26	123,276	EUR	1/15/2032	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELEFONICA SA	Corporates	6	2025-08-26	245,262	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELENOR ASA	Corporates	10	2025-08-26	121,718	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELIA CO AB	Corporates	XS2082429890	2025-08-26	60,692	EUR	5/11/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TRENUM AB	Corporates	9	2025-08-26	298,792	SEK		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	UNILEVER PLC	Corporates	6	2025-08-26	56,852	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	UPM-KYMMENE OYJ	Corporates	USX9518SAB44	2025-08-26	165,267	USD	11/26/2027	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VASAKRONAN HOLDING AB	Corporates	XS2765616185	2025-08-26	105,504	SEK	2/13/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VASAKRONAN HOLDING AB	Corporates	XS2107359171	2025-08-26	222,613	SEK	1/22/2027	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VEOLIA ENVIRONNEMENT SA	Corporates	FR00140007K5	2025-08-26	222,942	EUR	1/20/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VERIZON COMMUNICATIONS INC	Corporates	XS2176560444	2025-08-26	47,875	EUR	5/18/2033	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VERIZON COMMUNICATIONS INC	Corporates	XS2052320954	2025-08-26	96,360	EUR	3/19/2032	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VERIZON COMMUNICATIONS INC	Corporates	4	2025-08-26	103,976	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
